en_type_abbr,en_type,en_cui,en,en_zh
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0001237,Actihaemyl,幼牛血清
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0002083,Allantoin,尿囊素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0007271,Carotenoids,类胡萝卜素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0007839,Cerulenin,雨蛙肽
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0008405,Choline,胆碱
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0013900,Ellagic Acid,鞣花酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0013982,Emodin,大黄素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0016072,Ficusin,无花果苷
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0016601,Forskolin,福斯科林
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0018959,Hematoporphyrin,血卟啉
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0018988,Hemin,血红素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0025684,Methoxsalen,甲氧沙林
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0029300,Orotic Acid,乳清酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0031562,Phlorhizin,根际土壤
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0032333,podophyllin,盾叶鬼臼树脂
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0034414,Quinidine,奎尼丁
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0035339,Retinoids,维甲酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0039771,Theophylline,茶碱
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0041536,Ubiquinone,泛醌
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0041942,Urea,尿素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0042670,Vinblastine,长春碱
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0042671,Vinblastine Sulfate,硫酸长春碱
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0043328,Lutein,叶黄素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0050423,acetamide,乙酰胺
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0055819,Citric Acid,枸橼酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0061202,Genistein,染料木黄酮
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0062006,Gur,古尔
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0064582,Lactic acid,乳酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0065331,lycopene,番茄红素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0069639,oridonin,冬凌草甲素
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0070558,phenethyl isothiocyanate,异硫氰酸苯乙酯
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0071021,phytosphingosine,植物鞘氨醇
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0072802,Pyruvic Acid,丙酮酸
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0076305,tetramethylpyrazine,川芎嗪
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0085210,Canthaxanthin,斑螯黄沉着
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0207661,perilla alcohol,紫苏醇
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C0283803,solasonine,太阳花碱
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C1176308,tolvaptan,托伐普坦
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C1568724,lycium barbarum polysaccharide,枸杞多糖
bacs;orch;phsu,Biologically Active Substance;Organic Chemical;Pharmacologic Substance,C3824990,Blood lactate,血乳酸
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0023875,Lithocholic Acid,石胆酸
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0042105,Ursodeoxycholic Acid,熊去氧胆酸
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0054208,bufogenin,柴胡素
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0057277,Dehydroepiandrosterone Sulfate,硫酸脱氢表雄酮
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0078517,wortmannin,渥曼青霉素
bacs;orch;phsu;strd,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Steroid,C0381424,chan su,陈苏
bacs;orch;phsu;vita,Biologically Active Substance;Organic Chemical;Pharmacologic Substance;Vitamin,C0019392,Hesperidin,橙皮苷
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0005390,Bile Acids,胆汁酸
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0005404,Bile Salts,药用胆盐
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0008377,Cholesterol,胆固醇
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0008387,Cholesterol Esters,胆固醇酯
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0023822,High Density Lipoprotein Cholesterol,高密度脂蛋白胆固醇
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0023824,LDL Cholesterol Lipoproteins,低密度脂蛋白胆固醇脂蛋白
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0099513,"cholest-5-en-3 beta,7 alpha-diol, (3beta,7beta)-isomer",胆甾-5-烯-3β，7α-二醇，（3β，7β）-异构体
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C0368909,Non-esterified cholesterol,非酯化胆固醇
bacs;orch;strd,Biologically Active Substance;Organic Chemical;Steroid,C1571338,periplocin,杠柳苷
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0005522,Biological Products,生物制品
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0010658,Cysteine Proteinase Inhibitors,半胱氨酸蛋白酶抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0010737,Cytochalasin B,细胞松弛素b
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0010739,Cytochalasins,细胞松弛素
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0013229,"Drugs, Chinese Herbal",药物，中草药
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0018282,Growth Inhibitors,生长抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0032023,Pituitrin,垂体后叶素
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0032081,Plant Extracts,植物提取物
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0033488,Propolis,蜂胶
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0033607,Protease Inhibitor,蛋白酶抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0056328,cordacin,冬虫夏草
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0076625,thymostimulin,胸腺刺激素
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0376566,DNA Synthesis Inhibitors,dna合成抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0376601,Integrase Inhibitors,整合酶抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0596087,Angiogenesis Inhibitors,血管生成抑制剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0652027,YIT 9018,yit 9018
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0671955,Sobatum,苏打
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C0751968,Enzyme Activators,酶激活剂
bacs;phsu,Biologically Active Substance;Pharmacologic Substance,C2830138,APR-246,4月24日
bact,Bacterium,C0001084,Achromobacter,无色杆菌
bact,Bacterium,C0001699,Klebsiella pneumonia bacterium,肺炎克雷伯菌细菌
bact,Bacterium,C0001930,Alcaligenes,产碱
bact,Bacterium,C0004587,Bacillus <bacterium>,芽孢杆菌<细菌>
bact,Bacterium,C0004590,Bacillus cereus,蜡样芽孢杆菌
bact,Bacterium,C0004611,Bacteria,细菌
bact,Bacterium,C0004613,"Bacteria, Anaerobic",细菌，厌氧
bact,Bacterium,C0004663,Bacteroides fragilis,脆弱杆菌
bact,Bacterium,C0006034,Borrelia burgdorferi,伯氏疏螺旋体
bact,Bacterium,C0006132,Moraxella (Branhamella) catarrhalis,moraxella（branhamella）卡他莫拉菌
bact,Bacterium,C0006303,Brucella,布鲁氏菌属
bact,Bacterium,C0006813,Campylobacter,弯曲杆菌属
bact,Bacterium,C0006819,Campylobacter jejuni,空肠弯曲杆菌
bact,Bacterium,C0006916,Capnocytophaga,噬盖细胞
bact,Bacterium,C0010148,Corynebacterium,棒杆菌属
bact,Bacterium,C0010152,Rhodococcus equi,马红球菌
bact,Bacterium,C0014346,Enterobacteriaceae,肠杆菌科
bact,Bacterium,C0014738,Erysipelothrix rhusiopathiae,猪红斑丹毒丝菌
bact,Bacterium,C0014834,Escherichia coli,大肠埃希菌
bact,Bacterium,C0016677,Francisella tularensis,土拉热弗朗西斯菌
bact,Bacterium,C0018150,Gram-Negative Bacteria,革兰氏阴性菌
bact,Bacterium,C0018154,Gram-Positive Bacteria,革兰氏阳性菌
bact,Bacterium,C0018155,Gram-Positive Cocci,革兰氏阳性球菌
bact,Bacterium,C0018483,Haemophilus influenzae,流感嗜血杆菌
bact,Bacterium,C0022727,Klebsiella,克雷伯菌属
bact,Bacterium,C0023237,Legionella,军团菌属
bact,Bacterium,C0023238,Legionella pneumophila,嗜肺军团菌
bact,Bacterium,C0023859,Listeria,利斯特菌属
bact,Bacterium,C0023861,Listeria monocytogenes,单核细胞增多利斯特菌
bact,Bacterium,C0025966,Micrococcus,微球菌
bact,Bacterium,C0026912,Genus Mycobacterium,分枝杆菌属
bact,Bacterium,C0026913,Mycobacterium avium,鸟分枝杆菌
bact,Bacterium,C0026914,Mycobacterium avium Complex,鸟型分枝杆菌
bact,Bacterium,C0026922,Mycobacterium leprae,麻风分枝杆菌
bact,Bacterium,C0026926,Mycobacterium tuberculosis,结核分枝杆菌
bact,Bacterium,C0026934,Mycoplasma,支原体属
bact,Bacterium,C0026941,Mycoplasma pneumoniae,肺炎支原体
bact,Bacterium,C0027575,Neisseria meningitidis,脑膜炎奈瑟菌
bact,Bacterium,C0028240,Nocardia,诺卡氏菌属
bact,Bacterium,C0028241,Nocardia asteroides,星形诺卡菌
bact,Bacterium,C0030637,Pasteurella multocida,多杀巴斯德菌
bact,Bacterium,C0033477,Propionibacterium acnes,痤疮丙酸杆菌
bact,Bacterium,C0033808,Pseudomonas,假单胞菌属
bact,Bacterium,C0033809,Pseudomonas aeruginosa,绿脓杆菌
bact,Bacterium,C0035791,Bartonella quintana,五日热巴尔通体
bact,Bacterium,C0036111,Salmonella,沙门氏菌
bact,Bacterium,C0036112,Salmonella arizonae,亚利桑那沙门氏菌
bact,Bacterium,C0036113,Salmonella enteritidis,肠炎沙门氏菌
bact,Bacterium,C0036126,Salmonella typhimurium,鼠伤寒沙门氏菌
bact,Bacterium,C0036766,Serratia marcescens,粘质沙雷氏菌
bact,Bacterium,C0037970,Spirochaeta genus,spirochaeta属
bact,Bacterium,C0037973,ORDER SPIROCHAETALES,订购spirochaetales
bact,Bacterium,C0038170,Genus staphylococcus,葡萄球菌属
bact,Bacterium,C0038172,Staphylococcus aureus,金黄色葡萄球菌
bact,Bacterium,C0038174,Staphylococcus epidermidis,表皮葡萄球菌
bact,Bacterium,C0038402,Streptococcus,链球菌属
bact,Bacterium,C0038404,Enterococcus faecalis,粪肠球菌
bact,Bacterium,C0038410,Streptococcus pneumoniae,肺炎链球菌
bact,Bacterium,C0038411,Streptococcus pyogenes,酿脓链球菌
bact,Bacterium,C0040840,Treponema pallidum,苍白密螺旋体
bact,Bacterium,C0043406,Yersinia enterocolitica,小肠结肠炎耶尔森菌
bact,Bacterium,C0079134,Clostridium difficile,难辨梭菌
bact,Bacterium,C0079488,Helicobacter pylori,幽门螺杆菌
bact,Bacterium,C0081786,Microbial Biofilms,微生物生物膜
bact,Bacterium,C0085441,Mycobacterium chelonae,分枝杆菌chelonae
bact,Bacterium,C0085464,Bordetella bronchiseptica,支气管炎博德特菌
bact,Bacterium,C0085470,Pseudomonas putida,恶臭假单胞菌
bact,Bacterium,C0085472,Rhizobium radiobacter,放射型根瘤菌
bact,Bacterium,C0085479,Fusobacterium nucleatum,具核梭杆菌
bact,Bacterium,C0085488,Actinobacillus actinomycetemcomitans,伴放线放线杆菌
bact,Bacterium,C0085491,Aeromonas hydrophila,嗜水气单胞菌
bact,Bacterium,C0085494,Enterococcus,肠球菌属
bact,Bacterium,C0085498,Gram-Positive Rods,革兰氏阳性杆
bact,Bacterium,C0085501,Ureaplasma urealyticum,解脲支原体
bact,Bacterium,C0085508,Helicobacter,螺杆菌属
bact,Bacterium,C0085957,Bacillus Calmette-Guerin,卡介苗
bact,Bacterium,C0086819,Plesiomonas shigelloides,类志贺邻单胞菌
bact,Bacterium,C0121772,Haemophilus influenzae type b bacteria,流感嗜血杆菌b型细菌
bact,Bacterium,C0206362,Helicobacter suis,猪螺杆菌
bact,Bacterium,C0206668,Helicobacter heilmannii,海尔曼螺杆菌属
bact,Bacterium,C0221084,Mycobacterium marinum,海分枝杆菌
bact,Bacterium,C0242615,Mycobacterium haemophilum,嗜血分枝杆菌
bact,Bacterium,C0302285,Diphtheroids,白喉
bact,Bacterium,C0314752,Gram-negative bacillus,革兰氏阴性杆菌
bact,Bacterium,C0314833,Aeromonas sobria,气单胞菌
bact,Bacterium,C0314843,Achromobacter piechaudii,无色杆菌
bact,Bacterium,C0314845,Achromobacter xylosoxidans,木糖氧化无色杆菌
bact,Bacterium,C0314977,Bifidobacterium longum,长双歧杆菌
bact,Bacterium,C0315045,Helicobacter cinaedi,同性恋螺杆菌
bact,Bacterium,C0315052,Capnocytophaga ochracea,赭噬盖胞菌
bact,Bacterium,C0315074,Clostridium sordellii,污泥梭菌
bact,Bacterium,C0315096,Clostridium septicum,败血症梭菌
bact,Bacterium,C0315183,Corynebacterium striatum,纹带棒杆菌
bact,Bacterium,C0315222,Edwardsiella tarda,迟缓爱德华氏菌
bact,Bacterium,C0315259,Hafnia alvei,哈夫尼亚阿尔维
bact,Bacterium,C0315276,Morganella morganii,摩根氏摩根氏菌
bact,Bacterium,C0317524,Pseudomonas oryzihabitans,栖稻假单胞菌
bact,Bacterium,C0317572,Haemophilus paragallinarum,paragallinarum嗜血杆菌
bact,Bacterium,C0317676,Legionella anisa,军团菌
bact,Bacterium,C0317752,Mycobacterium simiae,猿分枝杆菌
bact,Bacterium,C0317757,Mycobacterium gordonae,戈登分枝杆菌
bact,Bacterium,C0317763,Mycobacterium fortuitum,偶发分枝杆菌
bact,Bacterium,C0317767,Mycobacterium malmoense,玛尔摩分枝杆菌
bact,Bacterium,C0317812,Mycoplasma pulmonis,肺炎支原体
bact,Bacterium,C0317824,Mycoplasma arthritidis,支原体关节炎
bact,Bacterium,C0317829,Mycoplasma arginini,精氨酸支原体
bact,Bacterium,C0317838,Mycoplasma hominis,人型支原体
bact,Bacterium,C0317896,Nocardia brasiliensis,巴西诺卡菌
bact,Bacterium,C0317900,Nocardia farcinica,法辛诺卡氏菌
bact,Bacterium,C0317984,Sphingomonas paucimobilis,少动鞘氨醇单胞菌
bact,Bacterium,C0318063,Tsukamurella paurometabolum,小恙虫
bact,Bacterium,C0318122,Staphylococcus warneri,沃氏葡萄球菌
bact,Bacterium,C0318137,Rothia mucilaginosa,粘滑罗斯菌
bact,Bacterium,C0318146,Streptococcus mitis,轻型链球菌
bact,Bacterium,C0318151,Streptococcus intermedius,中链球菌
bact,Bacterium,C0318157,Streptococcus Viridans Group,草绿色链球菌组
bact,Bacterium,C0318162,"Streptococcus, group G",链球菌，g组
bact,Bacterium,C0318256,Vibrio vulnificus,创伤弧菌
bact,Bacterium,C0318290,Stenotrophomonas maltophilia,嗜麦芽窄食单胞菌
bact,Bacterium,C0445625,"Staphylococcus, coagulase negative",葡萄球菌，凝固酶阴性
bact,Bacterium,C0445750,Salmonella enterica,肠道沙门氏菌
bact,Bacterium,C0445806,Achromobacter denitrificans,脱氮无色杆菌
bact,Bacterium,C0445868,Helicobacter felis,猫胃螺杆菌
bact,Bacterium,C0445913,Mycobacterium genavense,genavense分枝杆菌
bact,Bacterium,C0525033,Probiotics,益生菌
bact,Bacterium,C0563199,Bacterial cell,细菌细胞
bact,Bacterium,C0579233,Streptococcus Group B,链球菌b组
bact,Bacterium,C0597955,acid-fast bacteria,耐酸细菌
bact,Bacterium,C0599752,intestinal bacteria,肠道细菌
bact,Bacterium,C0686809,Methylobacterium mesophilicum,中温甲基杆菌
bact,Bacterium,C0949472,Borrelia afzelii,阿氏疏螺旋体
bact,Bacterium,C0995830,Tropheryma whipplei,惠普尔养障体
bact,Bacterium,C1002598,Turicella otitidis,耳囊尾蚴
bact,Bacterium,C1003868,Helicobacter hepaticus,肝螺杆菌
bact,Bacterium,C1005839,Bordetella holmesii,霍尔梅西博德特氏菌
bact,Bacterium,C1013217,Tsukamurella pulmonis,肺结核tsukamurella pulmonis
bact,Bacterium,C1013303,Borrelia miyamotoi,宫本氏疏螺旋体
bact,Bacterium,C1021730,Mycobacterium wolinskyi,wolinskyi分枝杆菌
bact,Bacterium,C1026841,Streptomyces olivoreticuli,链霉菌（streptomyces olivoreticuli）
bact,Bacterium,C1032649,Mycobacterium tuberculosis complex,结核分枝杆菌复合体
bact,Bacterium,C1065384,Nocardia cyriacigeorgica,环氏诺卡氏菌
bact,Bacterium,C1140704,Streptococcus viridans,草绿色链球菌
bact,Bacterium,C1223037,Roseomonas gilardii,吉拉迪玫瑰单胞菌
bact,Bacterium,C1224283,Roseomonas mucosa,玫瑰单胞菌粘膜
bact,Bacterium,C1225384,Nocardia asiatica,亚洲夜蛾
bact,Bacterium,C1234637,Mycobacterium canariasense,加拿大分枝杆菌
bact,Bacterium,C1260916,Tatlockia micdadei,米达岱塔洛克酒店
bact,Bacterium,C1262461,Vibrio trachuri,弧菌
bact,Bacterium,C1264774,Acinetobacter species,不动杆菌属
bact,Bacterium,C1264821,Capnocytophaga species,capnocytophaga种
bact,Bacterium,C1265260,Nocardia species,诺卡氏菌属
bact,Bacterium,C1265277,Pseudomonas species,假单胞菌属
bact,Bacterium,C1265300,Streptococcus mitis group,链球菌组
bact,Bacterium,C1295730,Diplococci,双球菌
bact,Bacterium,C1295738,Aeromonas species,气单胞菌属
bact,Bacterium,C1295748,Arthrobacter species,关节杆菌属
bact,Bacterium,C1295765,Helicobacter species,螺杆菌属
bact,Bacterium,C1295798,Klebsiella species,克雷伯菌属
bact,Bacterium,C1299078,Bacillus species,芽孢杆菌属
bact,Bacterium,C1444090,Resistant bacteria,耐药细菌
bact;rich,Bacterium;Rickettsia or Chlamydia,C0008148,Chlamydia,衣原体属
bact;rich,Bacterium;Rickettsia or Chlamydia,C0008150,Chlamydophila psittaci,鹦鹉热衣原体
bact;rich,Bacterium;Rickettsia or Chlamydia,C0008151,Chlamydia trachomatis,沙眼衣原体
bact;rich,Bacterium;Rickettsia or Chlamydia,C0010240,Coxiella burnetii,伯内特考克斯体
bact;rich,Bacterium;Rickettsia or Chlamydia,C0013722,Ehrlichia,埃里希体属
bact;rich,Bacterium;Rickettsia or Chlamydia,C0085504,Chlamydophila pneumoniae,衣原体肺炎
bdsu,Body Substance,C0003662,Aqueous Humor,房水
bdsu,Body Substance,C0005388,Bile fluid,胆汁液
bdsu,Body Substance,C0005889,Body Fluids,体液
bdsu,Body Substance,C0007806,Cerebrospinal Fluid,脑脊液
bdsu,Body Substance,C0012621,"Discharge, Body Substance",放电，身体物质
bdsu,Body Substance,C0015733,Feces,粪便
bdsu,Body Substance,C0024202,Lymph,淋巴
bdsu,Body Substance,C0026131,Milk,牛奶
bdsu,Body Substance,C0026140,"Milk, Human",牛奶，人类
bdsu,Body Substance,C0032105,Plasma,血浆
bdsu,Body Substance,C0034161,Pus,脓
bdsu,Body Substance,C0038984,Sweat,汗水
bdsu,Body Substance,C0042036,Urine,尿
bdsu,Body Substance,C0178913,Blood specimen,血液标本
bdsu,Body Substance,C0225973,Pericardial fluid,心包液
bdsu,Body Substance,C0229664,peripheral blood,外周血
bdsu,Body Substance,C0229671,Serum,血清
bdsu,Body Substance,C0344392,Urate crystals,尿酸盐晶体
bdsu,Body Substance,C0440470,Human material,人体材料
bdsu,Body Substance,C0444061,Pathology specimen,病理标本
bdsu,Body Substance,C0444266,Serum specimen,血清标本
bdsu,Body Substance,C0486805,FRAGMENTS,片段
bdsu,Body Substance,C0504085,Body Excretions,身体排泄物
bdsu,Body Substance,C1292530,Cerebrospinal fluid sample,脑脊液样本
bdsu,Body Substance,C1446336,Multiple plaques,多个斑块
bdsu,Body Substance,C1550101,Supernatant,上清液
bdsu,Body Substance,C1550609,Specimen Type - Abscess,标本类型-脓肿
bdsu;bpoc,"Body Substance;Body Part, Organ, or Organ Component",C0003964,Peritoneal Fluid,腹膜液
bdsu;bpoc,"Body Substance;Body Part, Organ, or Organ Component",C0438737,Bone marrow specimen,骨髓标本
bdsu;fndg,Body Substance;Finding,C0332461,Plaque (lesion),斑块（病变）
bdsu;patf,Body Substance;Pathologic Function,C1533591,calcium deposit substance,钙沉积物质
bdsu;tisu,Body Substance;Tissue,C0005767,Blood,血液
bdsu;tisu,Body Substance;Tissue,C0162371,Umbilical Cord Blood,脐带血
bdsu;tisu,Body Substance;Tissue,C0230899,Elastic Fibers,弹性纤维
bdsy,Body System,C0017189,Gastrointestinal tract structure,胃肠道结构
bdsy,Body System,C0020962,Immune system,免疫系统
bdsy,Body System,C0024235,Lymphatic System,淋巴系统
bdsy,Body System,C0037267,Integumentary system,体被系统
bdsy,Body System,C0206417,Peripheral Nervous System,周围神经系统
bdsy,Body System,C0226503,Structure of venous network,静脉网络的结构
bdsy,Body System,C0460002,body system,身体系统
bdsy,Body System,C0682716,ventricular system,心室系统
bdsy,Body System,C0927232,Neuraxis,神经轴突
bdsy,Body System,C1123023,Skin,皮肤
bdsy,Body System,C1266909,Entire bony skeleton,整个骨骼骨骼
bdsy,Body System,C1267793,Mononuclear phagocyte system structure,单核吞噬细胞系统结构
bdsy,Body System,C1269560,Entire nervous system,整个神经系统
bdsy,Body System,C1281182,Entire gastrointestinal tract,整个胃肠道
bdsy,Body System,C2350292,Stem Cell Niche,干细胞生态位
bdsy,Body System,C3714787,Central Nervous System,中枢神经系统
bhvr;inbe,Behavior;Individual Behavior,C0001072,Achievement,成就
bhvr;inbe,Behavior;Individual Behavior,C0004927,Behavior,行为
bhvr;inbe,Behavior;Individual Behavior,C0036864,Sex Behavior,性行为
biof,Biologic Function,C0013203,Drug resistance,耐药性
biof,Biologic Function,C0017399,genetic aspects,遗传方面
biof,Biologic Function,C0034851,"Conditions, Recessive Genetic",条件，隐性遗传
biof,Biologic Function,C0086474,"Integration, Provirus",整合，原病毒
biof,Biologic Function,C0162404,Bioluminescence,生物发光
biof,Biologic Function,C0220781,Anabolism,合成代谢
biof,Biologic Function,C0232478,Ingestion,摄取
biof,Biologic Function,C0277784,"Biological function, NOS",生物功能，nos
biof,Biologic Function,C0392673,Adaptation,适应
biof,Biologic Function,C0597345,radiation resistance,放射抗拒性
biof,Biologic Function,C0678790,dose-response relationship,剂量-效应关系
biof,Biologic Function,C1154313,biological_process,生物过程
biof,Biologic Function,C1160638,Viral life cycle,病毒生命周期
biof,Biologic Function,C3714634,Biological Processes,生物过程
biof;celf,Biologic Function;Cell Function,C0003261,Antibody Formation,抗体形成
biof;fndg,Biologic Function;Finding,C0812399,Creatinine clearance,肌酐清除率
biof;genf,Biologic Function;Genetic Function,C0282629,Virus Assembly,病毒组装
biof;npop,Biologic Function;Natural Phenomenon or Process,C0282688,"Evolution, Molecular",进化，分子
biof;orgf,Biologic Function;Organism Function,C0019868,Homeostasis,平衡
biof;orgf,Biologic Function;Organism Function,C0042767,Virus Activation,病毒激活
bird,Bird,C0032850,"Fowls, Domestic",家禽，家养
bird,Bird,C0325970,Amazona ochrocephala oratrix,奥氏亚马逊介
bird,Bird,C0325984,Ara ararauna,蓝黄金刚鹦鹉
bird,Bird,C0326725,Mynah,米娜
bird,Bird,C0999232,Columba livia,哥伦布利维亚
bird,Bird,C0999391,Spheniscus humboldti,洪氏环企鹅
bird,Bird,C1072808,Amazona auropalliata,极光亚马孙介
blor;orga,Body Location or Region;Organism Attribute,C0489451,Body surface,体表
bmod,Biomedical Occupation or Discipline,C0005532,Biology,生物
bmod,Biomedical Occupation or Discipline,C0005539,biomedical engineering field,生物医学工程领域
bmod,Biomedical Occupation or Discipline,C0010741,Cytochemistry,细胞化学
bmod,Biomedical Occupation or Discipline,C0010802,Cytogenetics,细胞遗传学
bmod,Biomedical Occupation or Discipline,C0010819,Cytology,细胞学
bmod,Biomedical Occupation or Discipline,C0014507,Epidemiology,流行病学
bmod,Biomedical Occupation or Discipline,C0018943,Hematology,血液学
bmod,Biomedical Occupation or Discipline,C0019638,Histology,组织学
bmod,Biomedical Occupation or Discipline,C0020405,Hygiene,卫生用品
bmod,Biomedical Occupation or Discipline,C0025118,Medicine,医学
bmod,Biomedical Occupation or Discipline,C0030664,Pathology,病理
bmod,Biomedical Occupation or Discipline,C0031330,Pharmacology,药理学
bmod,Biomedical Occupation or Discipline,C0037778,Medical Specialities,医学专业
bmod,Biomedical Occupation or Discipline,C0086345,"Genetics, Molecular",遗传学，分子学
bmod,Biomedical Occupation or Discipline,C0152036,Immunology,免疫学
bmod,Biomedical Occupation or Discipline,C0872252,Proteomics,蛋白质组学
bmod,Biomedical Occupation or Discipline,C0887950,Genomics,基因组学
bmod,Biomedical Occupation or Discipline,C1512381,Hematopathology,血液病理学
bmod;humn;prog,Biomedical Occupation or Discipline;Human;Professional or Occupational Group,C1514693,Radiation Oncologist,放射肿瘤学家
bmod;orgf,Biomedical Occupation or Discipline;Organism Function,C1328813,metabolomics,代谢组学
bmod;patf,Biomedical Occupation or Discipline;Pathologic Function,C0677043,Histopathology,组织病理学
bmod;topp,Biomedical Occupation or Discipline;Therapeutic or Preventive Procedure,C1148475,Complementary and alternative medicine,补充替代医学
bodm,Biomedical or Dental Material,C0005479,Biocompatible Materials,生物相容性材料
bodm,Biomedical or Dental Material,C0006935,capsule (pharmacologic),胶囊（药理学）
bodm,Biomedical or Dental Material,C0009361,Colloids,胶体
bodm,Biomedical or Dental Material,C0013161,Drug Carriers,药物载体
bodm,Biomedical or Dental Material,C0017243,Gel,凝胶
bodm,Biomedical or Dental Material,C0038960,Suspensions,悬浮液
